Project Name,Procuring Entity,OCID,Project Cost,Contractor,Class,Asset Range,No of Employee,Year,Status,Remark,Award Date,Publication Date,Project Location
"Establishment of Borehole and Overhead Tank (Raft Foundation) at UNA Primary School, Igalun Imota, Ikorodu LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202246718181,"₦6,833,452.49",MUSBY NIGERIA COMPANY LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"IKORODU, LAGOS"
"Establishment of Borehole and Overhead Tank (Raft Foundation) at L.A. Primary School, Igbologun, Snake Island, Amuwo-Odofin, Lagos State.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202212331637,"₦6,861,671.24",OLEKUTECHNICIAN LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"AMUWO ODOFIN, LAGOS"
"Construction of 240m Fence, Gate and Gate House (Raft Foundation) at Anglican Primary School, Ajeromi-Ifelodun LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202228307156,"₦21,593,125.76",AVILAH CONSTRUCTION NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"BADAGRY, LAGOS"
"Construction of 305m Fence, Gate and Gate House (Raft Foundation) at Kadara Primary School, Ebute-Metta, Lagos Mainland LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202248271714,"₦26,445,245.83",GANOLA ENGINEERING AND CONSTRUCTION TECHNOLOGY LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"EBUTE-METTA, LAGOS"
"Construction of 325m Fence, Gate and Gate House (Raft Foundation) at Zummuratul Islamiyyah Primary School, Amuwo Odofin LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202286704714,"₦28,138,470.07",ASSET ENGINEERING & CONSTRUCTION COMPANY LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"AMUWO ODOFIN, LAGOS"
"Construction of 335m Fence, Gate and Gate House (Pad Foundation) at RCM Primary School, Odo Iragunshi, Epe LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202215175733,"₦28,533,847.93",GREENMOUNT GLOBAL LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"EPE, LAGOS"
SUPPLY OF COMPUTER LAPTOPS,OFFICE OF THE SURVEYOR-GENERAL,ocds-5q8fsw-6202287081256,"₦9,000,000.00",CHARD LOGISTICS SERVICES,Private Organization,,0,2021,COMPLETED,,"Tuesday, December 14, 2021",2022-06-11,LAGOS
"Rehabilitation of a Block of 17 Classrooms with Offices and Toilets, including Borehole and Overhead Tank at Low Cost Estate Primary School 1, Oke-Afa, Oshodi-Isolo LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202263228412,"₦51,265,056.88",PECKSGREY NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"OSHODI, LAGOS"
SERVICING AND SUPPLY OF MANAGEMENT INFORMATION SYSTEM/COMPUTER ACCESSORIES IN HQ. AND ZONAL OFFICES,OFFICE OF THE SURVEYOR-GENERAL,ocds-5q8fsw-6202256687544,"₦3,350,801.00",FAVERITH ADE-OLA NIG. ENTERPRISE,Private Organization,,0,2021,COMPLETED,,"Friday, December 10, 2021",2022-06-11,LAGOS
"Rehabilitation of a Block of 17 Classrooms with Offices and Toilets, including Borehole and Overhead Tank at St. Mathias Girls Primary School, Lagos Island LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202227278134,"₦51,248,931.88",ATLANTIC BISCOE NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"LAGOS ISLAND, LAGOS"
"Rehabilitation of a Block of 17 Classrooms with Offices and Toilets, including Borehole and Overhead Tank at Girls Junior Secondary School, Ikoyi, Eti-Osa LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202242783628,"₦51,243,062.38",MORIDEL INTERNATIONAL LIMITED,Private Organization,"₦100,000,001 to ₦200,000,000",43,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"IKOYI, LAGOS"
SUPPLY OF FURNITURE AND EQUIPMENT FOR REVENUE UNIT OF ACCOUNTS DEPARTMENT,OFFICE OF THE SURVEYOR-GENERAL,ocds-5q8fsw-6202265607018,"₦2,754,650.00",AMO EXCEL ENTERPRISES,Private Organization,,0,2021,COMPLETED,,"Friday, December 3, 2021",2022-06-11,LAGOS
"Rehabilitation of a Block of 17 Classrooms with Offices and Toilets, including Borehole and Overhead Tank at Ikeja Junior High School, Maryland, Kosofe LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202275224008,"₦49,133,090.00",ABAYOMI TECHNICAL & PRINTING SERVICES,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"MARYLAND, LAGOS"
SUPPLY OF FURNITURE AND EQUIPMENT FOR AUDIT UNIT,OFFICE OF THE SURVEYOR-GENERAL,ocds-5q8fsw-6202242346654,"₦1,480,000.00",EZETUN VENTURES,Private Organization,,0,2021,COMPLETED,,"Monday, November 22, 2021",2022-06-11,LAGOS
"Reconstruction of a Block of 20 Classrooms, Head Teacher's Office, Assistant Head Teacher's Office, Store and Toilets with Fire Fighting and Fire Alarm (Raft Foundation), including Borehole and Overhead Tank at Temidire Primary School, Alimosho LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202254410350,"₦192,445,061.64",BOB SQUARE NIGERIA LIMITED,Private Organization,"₦100,000,001 to ₦200,000,000",42,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"ALIMOSHO, LAGOS"
"Construction of a Block of 13 Classrooms, Head Teacher's Office, Assistant Head Teacher's Office, Store and Toilets with Fire Fighting and Fire Alarm (Raft Foundation), including Borehole and Overhead Tank at Mount Cramel Convent School, Ebute-Metta, Lagos Mainland LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202270403834,"₦136,401,403.49",ALLIED RIDGES NIGERIA LIMITED,Private Organization,"₦100,000,001 to ₦200,000,000",40,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"EBUTE-METTA, LAGOS"
"Reconstruction of a Block of 20 Classrooms, Head Teacher's Office, Assistant Head Teacher's Office, Store and Toilets with Fire Fighting and Fire Alarm (Raft Foundation), including Borehole and Overhead Tank at Ansar-udeen Primary School, Okepopo, Lagos Island LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202274125743,"₦192,553,018.49",SVV INTERNATIONAL INVESTMENTS LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"LAGOS ISLAND, LAGOS"
"Construction of a Block of 6 Classrooms, Head Teacher's Office, Assistant Head Teacher's Office, Store and Toilets with Fire Fighting and Fire Alarm (Raft Foundation), including Borehole and Overhead Tank at Aiyekoto Primary School, Ojo LGEA",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202207500355,"₦69,140,706.20",WALLBRICKS ENGINEERING LTD,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"OJO, LAGOS"
"Construction of a Block of 6 Classrooms, Head Teacher's Office, Assistant Head Teacher's Office, Store and Toilets with Fire Fighting and Fire Alarm (Raft Foundation), including Borehole and Overhead Tank at Iponri Olaleye Nursery and Primary School, Lagos Mainland LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202216463101,"₦69,120,500.00",SEKIDA GLOBAL CONCEPTS NIG. LTD,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,LAGOS
"Construction of a Block of 6 Classrooms, Head Teacher's Office, Assistant Head Teacher's Office, Store and Toilets with Fire Fighting and Fire Alarm (Raft Foundation), including Borehole and Overhead Tank at Ebenezer Primary School, Ebute-Metta, Lagos Mainland LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202240074816,"₦69,035,102.18",THE HOME EMPORIUM LUXURY FITTINGS LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"EBUTE-METTA, LAGOS"
"Construction of a Block of 6 Classrooms, Head Teacher's Office, Assistant Head Teacher's Office, Store and Toilets with Fire Fighting and Fire Alarm (Raft Foundation) Riverine, including Borehole and Overhead Tank at Labore Community Primary School, Ibeju-Lekki LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202287011831,"₦75,412,635.71",DEBOZGINI NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"LEKKI, LAGOS"
"Construction of a Block of 6 Classrooms, Head Teacher's Office, Assistant Head Teacher's Office, Store and Toilets with Fire Fighting and Fire Alarm (Raft Foundation) Riverine, including Borehole and Overhead Tank at Local Government Primary School, Oriba, Epe LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202202405562,"₦75,363,243.50",MUKMIMAH ENTERPRISES,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"EPE, LAGOS"
"Construction of a Block of 13 Classrooms, Head Teacher's Office, Assistant Head Teacher's Office, Store and Toilets with Fire Fighting and Fire Alarm (Raft Foundation), including Borehole and Overhead Tank at Community Primary School, Esepe Imushin, Badagry LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202276403246,"₦136,123,000.54",GTOJ CONSTRUCTION AND PLANTS LIMITED,Private Organization,"₦100,000,001 to ₦200,000,000",40,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"BADAGRY, LAGOS"
In-House Training for Officers,OFFICE OF THE AUDITOR GENERAL FOR LOCAL GOVERNMENT,ocds-5q8fsw-6202285342314,"₦2,731,450.00",BOLD PERCEPTION CONSULT,Private Organization,,0,2022,COMPLETED,Satisfactory,"Wednesday, March 9, 2022",2022-06-11,LAGOS
"Construction of a Block of 13 Classrooms, Head Teacher's Office, Assistant Head Teacher's Office, Store and Toilets with Fire Fighting and Fire Alarm (Raft Foundation), including Borehole and Overhead Tank at Ansarudeen Primary School, Abule Ado, Amuwo Odofin LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202258432161,"₦136,417,528.49",CSDC SYSTEMS SOLUTIONS LIMITED,Private Organization,"₦100,000,001 to ₦200,000,000",33,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"AMUWO ODOFIN, LAGOS"
In-House Training for Officers,OFFICE OF THE AUDITOR GENERAL FOR LOCAL GOVERNMENT,ocds-5q8fsw-6202260628622,"₦2,815,875.00",BOLD PERCEPTION CONSULT,Private Organization,,0,2022,COMPLETED,Satisfactory,"Wednesday, February 16, 2022",2022-06-11,LAGOS
"Construction of a Block of 20 Classrooms, Head Teacher's Office, Assistant Head Teacher's Office, Store and Toilets with Fire Fighting and Fire Alarm (Pad Foundation), including Borehole and Overhead Tank at St. Andrew's Anglican Primary School, Ipaja, Alimosho LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202257136010,"₦181,010,555.37",PEOPLE'S CHOICE PROPERTIES LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"ALIMOSHO, LAGOS"
ENGAGEMENT OF CONSULTANT FOR TRAINING ON BASICS OF TRANSITIONING TO VIRTUAL WORKFORCE.,STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202253404450,"₦4,000,000.00",MOLAD BUSINESS SCHOOL,Private Organization,"₦5,000,001 to ₦10,000,000",17,2021,COMPLETED,,"Monday, September 27, 2021",2022-06-11,"IKORODU, LAGOS"
DEMOLITION OF DILAPITATED STRUCTURES IN PUBLIC PRIMARY SCHOOLS IN LAGOS STATE,STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202243142017,"₦4,945,000.00",IMORO VENTURES ENTERPRISES,Private Organization,"₦1,000,001 to ₦5,000,000",6,2021,ONGOING,,"Thursday, July 29, 2021",2022-06-11,"IKORODU, LAGOS"
CONSTRUCTION OF ABIOLA-ONIJEMO LINK ROAD WITH BRIDGE IN IFAKO IJAIYE LOCAL GOVERNMENT AREA,OFFICE OF INFRASTRUCTURE,ocds-5q8fsw-6202258084805,"₦4,995,763,931.58",GELD CONSTRUCTION LTD,Private Organization,,0,2022,new award,NEW AWARD,"Thursday, May 19, 2022",2022-06-11,IFAKO-IJAIYE LGA
CONSTRUCTION OF GBERIGBE ROAD (EWU-ELEPE-GBODU JUNCTION-GBERIGBE TOWN) IN IKORODU LOCAL GOVERNMENT AREA,OFFICE OF INFRASTRUCTURE,ocds-5q8fsw-6202212163007,"₦8,923,928,222.86",ARAB CONTRACTORS O. A .O NIGERIA LIMITED,Private Organization,,0,2022,new award,NEW AWARD,"Wednesday, May 11, 2022",2022-06-11,IKORODU LGA
CONSTRUCTION/REHABLITATION OF AKINDE/ADETIBA ROAD IN IFAKO IJAIYE LOCAL GOVERNMENT AREA(CONTRACT REVIEW AND ADDITIONAL WORKS),OFFICE OF INFRASTRUCTURE,ocds-5q8fsw-6202272580475,"₦217,995,921.86",BASNAZ CONSTRUCTION LIMITED,Private Organization,,0,2022,ONGOING,CONTRACT REVIEW,"Monday, April 11, 2022",2022-06-11,IFAKO-IJAIYE
MEDIA CAMPAIGN AND ADVOCACY ON MENACE OF COMMERCIAL MOTORCYCLES (OKADA) AND TRICYCLE (KEKE MARWA) RIDERS,MINISTRY OF INFORMATION AND STRATEGY,ocds-5q8fsw-6202222640686,"₦24,000,000.00",UPSHOT MEDIA LIMITED,Private Organization,,0,2022,ONGOING,,"Thursday, May 26, 2022",2022-06-11,LAGOS STATE
PROCUREMENT OF PROFESSIONAL WORK TOOLS FOR OUTSTANDING PUBLIC AFFAIR OFFFICERS OF Y2021,MINISTRY OF INFORMATION AND STRATEGY,ocds-5q8fsw-6202232452205,"₦3,000,000.00",KOINE GLOBAL SERVICES LTD,Private Organization,"₦10,000,001 to ₦25,000,000",25,2022,COMPLETED,,"Thursday, March 17, 2022",2022-06-11,"ALAUSA, IKEJA"
PROCUREMENT OF OPERATIONAL  TOOLS FOR THE FILM & PHOTO UNIT OF THE MINISTRY,MINISTRY OF INFORMATION AND STRATEGY,ocds-5q8fsw-6202207062336,"₦4,600,000.00",OKWUE ENTERPRISES NIGERIA,Private Organization,,0,2022,COMPLETED,,"Thursday, March 17, 2022",2022-06-11,"ALAUSA, IKEJA"
PROCUREMENT OF OPERATIONAL TOOLS AND EQUIPMENT FOR THE EDITING AND GRAPHIC ARTS UNIT OF THE MINISTRY,MINISTRY OF INFORMATION AND STRATEGY,ocds-5q8fsw-6202270632531,"₦4,500,000.00",OKWUE ENTERPRISES NIGERIA,Private Organization,,0,2022,COMPLETED,,"Thursday, March 17, 2022",2022-06-11,Unspecified
PROCUREMENT OF OPERATIONAL EQUIPMENT FOR THE EDITING UNIT OF THE MINISTRY,MINISTRY OF INFORMATION AND STRATEGY,ocds-5q8fsw-6202240762883,"₦5,000,000.00",OKWUE ENTERPRISES NIGERIA,Private Organization,,0,2022,COMPLETED,,"Thursday, March 17, 2022",2022-06-11,"ALAUSA, IKEJA"
SUPPLY OF EXHIBITION EQUIPMENT,OFFICE OF THE SURVEYOR-GENERAL,ocds-5q8fsw-6202266232045,"₦2,788,000.00",GOLDWATERS ASSOCIATES,Private Organization,,0,2021,COMPLETED,,"Monday, July 19, 2021",2022-06-11,LAGOS
"SUPPLY OF FURNITURE, EQUIPMEN, SCREEDING AND PAINTING OF THE DIRECTORATE OF ADMIN.& HR",OFFICE OF THE SURVEYOR-GENERAL,ocds-5q8fsw-6202200286621,"₦2,727,200.00",WUWAX NIG. LTD,Private Organization,,0,2021,COMPLETED,,"Monday, July 19, 2021",2022-06-11,"IKEJA, LAGOS"
EXCAVATION AND RECONSTRUCTION OF COLLAPSE SEPTIC TANK AND FIVE WASTE CHAMBERS AT BACK OF OFFICE,OFFICE OF THE SURVEYOR-GENERAL,ocds-5q8fsw-6202262550763,"₦1,500,500.00",AMO EXCEL ENTERPRISES,Private Organization,,0,2021,COMPLETED,,"Wednesday, July 14, 2021",2022-06-11,"IKEJA, LAGOS"
"SUPPLY OF OFFICE FURNTURE AND EQUIPMENT FOR CONFERENCE ROOM & OFFICE OF DIRECTOR, A & HR",OFFICE OF THE SURVEYOR-GENERAL,ocds-5q8fsw-6202253787543,"₦4,500,000.00",FAVERITH ADE-OLA NIG. ENTERPRISE,Private Organization,,0,2021,COMPLETED,,"Wednesday, July 7, 2021",2022-06-11,LAGOS
SUPPLY OF OFFICE FURNITURE AND EQUIPMENT FOR OFFICE OF PERMANENT SECRETARY,OFFICE OF THE SURVEYOR-GENERAL,ocds-5q8fsw-6202252234082,"₦4,500,000.00",WUWAX NIG. LTD,Private Organization,,0,2021,COMPLETED,,"Friday, July 2, 2021",2022-06-11,"IKEJA, LAGOS"
SUPPLY OF TECHNICAL CONSUMABLE ITEMS FOR THE CORE DEPARTMENTS,OFFICE OF THE SURVEYOR-GENERAL,ocds-5q8fsw-6202275482685,"₦2,495,000.00",EZETUN VENTURES,Private Organization,,0,2021,COMPLETED,,"Friday, June 11, 2021",2022-06-11,"IKEJA, LAGOS"
"PRODUCTION OF DOCUMENTARY, INTERVIEW SESSIONS AND FEATURE PUBLICATION IN NATIONAL NEWSPAPERS",OFFICE OF THE SURVEYOR-GENERAL,ocds-5q8fsw-6202212678266,"₦2,250,000.00",BYLINE MEDIA SERVICES,Private Organization,,0,2021,COMPLETED,,"Monday, May 31, 2021",2022-06-11,"IKEJA, LAGOS"
SUPPLY OF OFFICE FURNITURE AND EQUIPMENT FOR HEAD OF PROCUREMENT UNIT,OFFICE OF THE SURVEYOR-GENERAL,ocds-5q8fsw-6202232813355,"₦1,179,000.00",WUWAX NIG. LTD,Private Organization,,0,2021,COMPLETED,,"Monday, May 31, 2021",2022-06-11,"ALAUSA, IKEJA"
RENOVATION AND SUPPLY OF OFFICE FURNITURE AND EQUIPMENT,OFFICE OF THE SURVEYOR-GENERAL,ocds-5q8fsw-6202225105053,"₦5,500,000.00",AMO EXCEL ENTERPRISES,Private Organization,,0,2021,COMPLETED,,"Friday, May 14, 2021",2022-06-11,"ALAUSA, IKEJA"
"Construction of a Block of 13 Classrooms, Head Teacher's Office, Assistant Head Teacher's Office, Store and Toilets with Fire Fighting and Fire Alarm (Pad Foundation), including Borehole and Overhead Tank at St. John Primary School, Imota, Ikorodu LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202251340460,"₦126,488,568.88",ABRAFEM CONSTRUCTION LTD,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"IKORODU, LAGOS"
"Construction of a Block of 20 Classrooms, Head Teacher's Office, Assistant Head Teacher's Office, Store and Toilets with Fire Fighting and Fire Alarm (Pad Foundation), including Borehole and Overhead Tank at Community Primary School, Odo Nla, Ikorodu LGEA.",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202268007505,"₦181,109,267.83",BABKAZ CONTRACTORS LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, December 1, 2021",2022-06-11,"IKORODU, LAGOS"
Upgrading of Two Existing Libraries in Two Public Primary Schools in Lagos State and LASUBEB.,STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202223127132,"₦9,990,000.00",AT&S INVESTMENTS LIMITED,Private Organization,,0,2021,ONGOING,,"Wednesday, September 29, 2021",2022-06-11,"IKORODU, LAGOS"
ENGAGEMENT OF MEDIA CONSULTANT FOR EKO EXCEL,STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202255855353,"₦150,000,000.00",KABITI MEDIA HOUSE LIMITED (FORMERLY GRAND BLANC LIMITED),Private Organization,,0,2021,ONGOING,,"Friday, September 17, 2021",2022-06-11,"ALAUSA, IKEJA"
Furnishing and Installation of the Ministry Conference Hall,MINISTRY OF SPECIAL DUTIES &INTERGOVERNMENTAL RELATIONS,ocds-5q8fsw-6202251040324,"₦20,390,556.34",ORIGIN TECH GROUP NIGERIA LIMITED,Private Organization,"₦250,000,001 and above",70,2021,ONGOING,,"Friday, December 24, 2021",2022-06-11,"ALAUSA, IKEJA"
PROCUREMENT OF OPERATIONAL TOOLS AND EQUIPMENT FOR INFORMATION PRODUCTION DEPT. OF THE MINISTRY,MINISTRY OF INFORMATION AND STRATEGY,ocds-5q8fsw-6202202401848,"₦4,500,000.00",OKWUE ENTERPRISES NIGERIA,Private Organization,,0,2022,COMPLETED,,"Thursday, March 17, 2022",2022-06-11,"ALAUSA, IKEJA"
Office Renovation and Partitioning of the Technical Support Department of the Ministry of Special Duties & IGR,MINISTRY OF SPECIAL DUTIES &INTERGOVERNMENTAL RELATIONS,ocds-5q8fsw-6202212674228,"₦7,076,989.72",MY SPACE AND ME INTERIOR AND DESIGN,Private Organization,"₦50,000,001 to ₦100,000,000",31,2021,COMPLETED,,"Tuesday, November 9, 2021",2022-06-11,"ALAUSA, IKEJA"
"Equipping the Emergency and Security Regional Dispatch Centre Health Clinic, Epe",MINISTRY OF SPECIAL DUTIES &INTERGOVERNMENTAL RELATIONS,ocds-5q8fsw-6202212183072,"₦12,274,747.50",FISHCROSS MEDICAL SERVICES LIMITED,Private Organization,"₦200,000,001 to ₦250,000,000",60,2021,COMPLETED,,"Thursday, October 28, 2021",2022-06-11,"EPE, LAGOS"
"RENOVATION, ELECTRICAL,WALL SCREEDING AND PAINTING OF LEGAL UNIT",OFFICE OF THE SURVEYOR-GENERAL,ocds-5q8fsw-6202216461828,"₦1,839,907.00",MIKKY LOFTY VENTURES,Private Organization,,0,2021,COMPLETED,,"Friday, May 14, 2021",2022-06-11,"IKEJA, LAGOS"
"Additional Work 2 at the Emergency and Security Regional Dispatch Centre, Epe Local Government Area of Lagos State",MINISTRY OF SPECIAL DUTIES &INTERGOVERNMENTAL RELATIONS,ocds-5q8fsw-6202210430610,"₦15,311,890.00",MY SPACE AND ME INTERIOR AND DESIGN,Private Organization,"₦50,000,001 to ₦100,000,000",31,2021,COMPLETED,,"Thursday, July 22, 2021",2022-06-11,"EPE, LAGOS"
Service Fees for Terms 2 of Y2020/Y2021 Academic Session at a Service fee,STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202208276147,"₦2,706,963,672.65",BRIDGE INTERNATIONAL ACADEMIES,Private Organization,,0,2021,ONGOING,,"Thursday, September 16, 2021",2022-06-11,"IKORODU, LAGOS"
EVACUATION OF FILLED SEPTIC TANKS AND REPAIRS OF DAMAGED SOAK AWAY ANS SEPTIC TANKS IN SEVENTY-FIVE (75)PRIMARY SCHOOLS,STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202212317716,"₦38,690,324.98",RAMFI NIGERIA LIMITED,Private Organization,,0,2021,ONGOING,,"Friday, July 23, 2021",2022-06-11,"IKORODU, LAGOS"
Training on Production and  Management of Instructional Materials for Public Primary Schools Teachers incharge of Vocational Centres,STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202275140852,"₦6,500,000.00",VIEWPOINT EDUCATIONAL SERVICES LIMITED,Private Organization,,0,2021,COMPLETED,,"Monday, July 12, 2021",2022-06-11,"IKORODU, LAGOS"
PROCUREMENT OF CONSUMABLE ITEMS AND LEARNING MATERIALS FOR VOCATIONAL CENTRES,STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202282253736,"₦9,990,000.00",BLOBAR & ASSOCIATES NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,,"Monday, June 28, 2021",2022-06-11,"IKORODU, LAGOS"
PROCUREMENT OF SCHOOL FARM FOR SIX (6) SCHOOLS,STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202282022020,"₦34,776,000.00",BIDEUX ENTERPRISES,Private Organization,,0,2021,COMPLETED,,"Friday, June 25, 2021",2022-06-11,"IKORODU, LAGOS"
PROCUREMENT OUT-DOOR EQUIPMENT AND TELEVISION SETS FOR EARLY CHILDHOOD CARE DEVELOPMENT EDUCATION (ECCDE),STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202242807803,"₦19,980,000.00",HAYJID OPERATIONS LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, June 25, 2021",2022-06-11,"IKORODU, LAGOS"
PROCUREMENT OF AGE APPROPRIATE OUT DOOR ECCDE PLAY EQUIPMENT,STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202288268187,"₦7,992,000.00",HAYJID OPERATIONS LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, June 25, 2021",2022-06-11,"IKORODU, LAGOS"
"RECORDING, AIRING AND POSTPRODUCTION OF CLASSROOM IN YOUR HOME",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202221510667,"₦15,350,000.00",GLOBAL EDUCATION MEDIA NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,,"Tuesday, June 1, 2021",2022-06-11,"IKORODU, LAGOS"
"Production and Printing of materials for Registration of Pupils into ECCDE, primary One/Transfer of Pupils into Primary 2-5, letterhead and accessories for y2021/2022 JS 1 Placement Exercise",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202280871771,"₦5,830,500.00",BLOBAR & ASSOCIATES NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,,"Monday, May 31, 2021",2022-06-11,"IKORODU, LAGOS"
Procurement of Furniture,STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202280053806,"₦4,807,500.00",DAMSUL SERVICES,Private Organization,"₦5,000,001 to ₦10,000,000",10,2021,COMPLETED,,"Friday, May 7, 2021",2022-06-11,"IKORODU, LAGOS"
Procurement Five (5) fire proof Safe,STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202267517886,"₦4,875,000.00",HESBEE ENTERPRISES LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, May 7, 2021",2022-06-11,"IKORODU, LAGOS"
Procurement of fifteen (15) Split Ac,STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202246710161,"₦4,716,225.00",DAMSUL SERVICES,Private Organization,"₦5,000,001 to ₦10,000,000",10,2021,COMPLETED,,"Friday, May 7, 2021",2022-06-11,"IKORODU, LAGOS"
Procurement and Printing of Letter Heads and different sizes of Envelops,STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202200046635,"₦3,668,500.00",BLOBAR & ASSOCIATES NIGERIA LIMITED,Private Organization,,0,2021,COMPLETED,,"Friday, May 7, 2021",2022-06-11,"IKORODU, LAGOS"
Training Programme for LASUBEB Management & Other Stakeholders,STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202283246432,"₦4,450,000.00",SIMPLIALPHA CONSULTING LIMITED,Private Organization,,0,2021,COMPLETED,,"Tuesday, April 6, 2021",2022-06-10,"IKORODU, LAGOS"
"Y2009-Y2010 TETFUND INTERVENTION PROJECTS Completion of a Block of 6 Classrooms with Offices and Toilet at L.A Primary School, Obada Epe, Lagos",STATE UNIVERSAL EDUCATION BOARD,ocds-5q8fsw-6202251214801,"₦25,059,161.21",ASHBURTON GROVE LIMITED,Private Organization,,0,2021,ONGOING,RE-AWARDED,"Wednesday, February 17, 2021",2022-06-10,"EPE, LAGOS"
